iter	Passed	Remaining
0	118	23497
1	119	11848
2	121	7972
3	122	6017
4	124	4848
5	125	4054
6	126	3485
7	127	3056
8	128	2722
9	129	2455
10	130	2241
11	131	2063
12	132	1908
13	134	1780
14	135	1669
15	136	1567
16	137	1477
17	138	1396
18	139	1333
19	141	1271
20	142	1211
21	142	1156
22	143	1106
23	144	1060
24	145	1019
25	146	980
26	147	943
27	149	915
28	150	885
29	151	855
30	151	828
31	152	801
32	153	777
33	154	756
34	155	734
35	156	714
36	157	694
37	158	675
38	159	658
39	160	641
40	161	624
41	163	614
42	164	599
43	165	585
44	165	571
45	166	558
46	167	545
47	168	533
48	169	521
49	170	510
50	171	499
51	172	489
52	172	479
53	173	469
54	174	460
55	175	451
56	176	442
57	177	435
58	179	427
59	180	420
60	181	412
61	182	405
62	182	397
63	183	390
64	184	383
65	185	376
66	186	369
67	187	363
68	187	356
69	188	350
70	190	345
71	191	340
72	192	334
73	193	329
74	194	323
75	195	318
76	196	313
77	196	307
78	197	302
79	199	298
80	199	293
81	200	288
82	201	284
83	202	279
84	203	274
85	204	270
86	204	266
87	206	262
88	207	258
89	208	254
90	209	250
91	210	246
92	210	242
93	211	238
94	212	234
95	213	231
96	214	227
97	215	223
98	215	220
99	216	216
100	217	213
101	218	209
102	219	206
103	220	203
104	221	200
105	222	197
106	223	194
107	224	191
108	225	188
109	226	185
110	227	182
111	227	179
112	228	176
113	229	173
114	230	170
115	231	167
116	232	165
117	233	162
118	234	159
119	235	156
120	236	154
121	238	152
122	239	150
123	240	147
124	241	144
125	242	142
126	243	139
127	243	137
128	244	134
129	245	132
130	246	129
131	247	127
132	248	125
133	249	122
134	250	120
135	251	118
136	253	116
137	254	114
138	255	111
139	255	109
140	256	107
141	258	105
142	259	103
143	259	101
144	260	98
145	261	96
146	262	94
147	263	92
148	264	90
149	265	88
150	266	86
151	268	84
152	269	82
153	270	80
154	270	78
155	271	76
156	272	74
157	273	72
158	274	70
159	275	68
160	275	66
161	276	64
162	277	63
163	278	61
164	279	59
165	280	57
166	281	55
167	282	53
168	283	51
169	284	50
170	285	48
171	285	46
172	286	44
173	287	42
174	288	41
175	289	39
176	290	37
177	290	35
178	291	34
179	292	32
180	293	30
181	294	29
182	295	27
183	297	25
184	298	24
185	299	22
186	300	20
187	301	19
188	302	17
189	303	15
190	304	14
191	305	12
192	305	11
193	306	9
194	307	7
195	308	6
196	309	4
197	310	3
198	311	1
199	313	0
