iter	Passed	Remaining
0	25	12642
1	32	8197
2	42	7070
3	47	5899
4	54	5417
5	57	4745
6	63	4440
7	68	4241
8	74	4049
9	80	3936
10	85	3805
11	91	3708
12	96	3621
13	102	3550
14	107	3473
15	113	3422
16	119	3390
17	127	3424
18	134	3394
19	139	3356
20	144	3306
21	152	3319
22	158	3286
23	170	3383
24	177	3378
25	184	3358
26	189	3324
27	195	3290
28	201	3276
29	208	3264
30	214	3246
31	221	3233
32	227	3219
33	235	3224
34	241	3208
35	248	3201
36	255	3196
37	280	3411
38	297	3516
39	307	3533
40	334	3743
41	350	3820
42	358	3805
43	376	3897
44	407	4118
45	480	4737
46	546	5266
47	645	6079
48	656	6038
49	676	6092
50	687	6056
51	696	5999
52	709	5987
53	722	5968
54	729	5899
55	737	5850
56	743	5775
57	751	5725
58	756	5656
59	762	5589
60	771	5551
61	776	5488
62	784	5438
63	789	5379
64	796	5331
65	803	5281
66	809	5229
67	823	5234
68	832	5198
69	838	5152
70	849	5132
71	855	5083
72	864	5055
73	871	5016
74	880	4989
75	888	4955
76	904	4968
77	920	4977
78	933	4973
79	939	4934
80	972	5032
81	989	5043
82	1001	5032
83	1036	5133
84	1060	5177
85	1076	5180
86	1085	5150
87	1095	5130
88	1114	5147
89	1126	5132
90	1133	5095
91	1146	5085
92	1157	5065
93	1172	5065
94	1180	5030
95	1190	5012
96	1208	5019
97	1222	5015
98	1237	5010
99	1243	4972
100	1255	4957
101	1268	4947
102	1278	4928
103	1398	5326
104	1415	5326
105	1441	5356
106	1454	5342
107	1468	5330
108	1475	5291
109	1485	5267
110	1491	5227
111	1504	5212
112	1515	5190
113	1523	5158
114	1535	5142
115	1546	5119
116	1572	5146
117	1582	5123
118	1595	5106
119	1604	5080
120	1615	5060
121	1626	5038
122	1643	5037
123	1659	5031
124	1666	4999
125	1680	4989
126	1687	4957
127	1696	4930
128	1703	4898
129	1712	4874
130	1718	4840
131	1728	4817
132	1742	4809
133	1752	4785
134	1765	4772
135	1774	4750
136	1785	4730
137	1794	4706
138	1801	4677
139	1808	4651
140	1815	4622
141	1821	4592
142	1829	4568
143	1837	4543
144	1843	4513
145	1849	4484
146	1858	4462
147	1864	4433
148	1872	4410
149	1877	4380
150	1882	4350
151	1892	4333
152	1898	4306
153	1908	4287
154	1914	4260
